livsmedel,calorie,protein,carb,fat
"Fruktyoghurt fett 1,3% berikad",93,7.0,13.0,1.4
Kefir fett 3% berikad,60,3.4,4.8,3.0
"Yoghurt mild vanilj lätt fett 0,5% berikad",61,4.1,9.9,0.5
"Mellanmjölk fett 1,5% berikad",47,3.6,4.8,1.5
"Lättmjölk fett 0,5% berikad",39,3.6,4.8,0.5
Vassle flytande,25,0.8,5.1,0.1
Filbunke m. grädde,66,3.6,4.8,3.6
Varm choklad m. mjölk fett 3%,85,3.8,10.4,3.1
"Varm choklad m. mjölk fett 1,5%",72,3.9,10.5,1.7
"Varm choklad m. mjölk fett 0,5%",65,3.9,10.5,0.7
Smoothie m. yoghurt bär banan juice,57,2.7,8.5,1.1
"Hårt bröd fullkorn råg fibrer 15,5% typ Husman",354,10.0,64.4,2.5
Hårt bröd fullkorn råg fibrer ca 18% typ Ryvita mörkt,349,14.6,57.6,2.5
"Hårt bröd fullkorn vete m. vallmofrö fibrer 5,5%",398,11.1,68.9,7.1
"Hårt bröd fullkorn råg fibrer 14,5% typ Vika",345,9.6,63.3,2.4
Hårt bröd fullkorn råg fibrer 16% typ Finn crisp,348,11.1,62.8,2.0
Hårt bröd fullkorn råg fibrer ca 15% typ flatbröd,362,9.5,68.0,2.0
Hårt bröd glutenfritt fibrer ca 7%,346,6.3,71.1,2.0
Hårt bröd fullkorn råg fibrer ca 13%,353,9.3,65.7,2.6
Hårt bröd fullkorn råg kli fibrer ca 15%,349,9.5,63.9,2.5
Hårt bröd fullkorn råg fibrer ca 14% typ rutknäcke,356,10.0,65.3,2.6
"Hårt bröd fullkorn råg fibrer 15,5% typ brungräddat",350,10.0,63.5,2.4
Hårt bröd fullkorn råg fibrer ca 16% typ sport,341,10.0,62.1,1.9
Hårt bröd fullkorn råg m. sesamfrö vetekli vetegroddar fibrer 24%,355,13.0,45.3,8.2
"Hårt bröd fullkorn råg fibrer 15,5% typ delikatess",351,10.0,64.7,2.0
Hårt bröd fullkorn havre vete råg m. mjölk fibrer 8%,379,13.0,61.7,6.8
Hårt bröd vete m. vallmofrö fibrer 6% typ frukost,406,11.0,67.7,8.5
Hårt bröd vete m. socker kanel fibrer ca 7%,398,10.0,67.7,7.8
Hårt bröd glutenfritt fibrer ca 3%,385,10.0,69.1,6.5
"Hårt bröd fullkorn vete havre kli m. socker örtkryddor fibrer 10,5%",390,12.0,60.9,8.4
Bröd fullkorn korn fibrer 3%,239,6.4,40.2,5.0
Bröd vitt fullkorn graham typ scones,285,6.3,38.1,10.8
Bröd fullkorn råg fibrer ca 10% typ pumpernickel,221,5.4,40.8,1.6
Ströbröd malt hårt bröd fullkorn vete råg socker fibrer ca 5%,402,10.3,65.6,8.6
Hårt bröd fullkorn råg fibrer ca 14% typ normalgräddat,349,9.1,66.0,2.0
Hårt bröd fullkorn råg vete majs m. surdeg fibrer 15% typ spisbröd,335,8.3,63.4,1.8
"Bröd vitt vete vatten fibrer ca 3,5% typ pitabröd",274,8.6,53.6,1.6
Korvbröd,285,8.1,51.2,4.1
Hårt bröd fullkorn råg fibrer ca 14% typ brungräddat,354,9.1,65.5,2.6
"Bröd vitt osötat fibrer ca 2,5% typ italienskt",256,8.6,50.2,1.4
"Bröd vitt vete fibrer ca 2,5% typ baguette",270,8.5,53.2,1.7
"Bröd vitt fullkorn surdeg fibrer 4,4% bakad i butik typ grov baguette",260,7.6,51.7,1.2
"Bröd vitt fibrer 3,5%",284,8.0,46.0,6.4
Bröd vitt mjölk fibrer ca 3% typ Hönökaka,293,7.4,56.7,3.1
Bröd vitt vete typ scones,287,6.5,38.1,11.1
Bröd vitt vete ojäst fibrer 3% typ chapati,257,5.6,44.3,5.3
Bröd fullkorn rågsikt fibrer ca 7% typ kavring,270,5.5,47.3,4.7
"Bröd osötat rågsikt fibrer ca 3,5%",261,8.4,47.3,3.2
Bröd rågsikt fibrer ca 4%,266,7.1,51.4,2.3
Bröd fullkorn graham m. mjölk fibrer ca 5%,279,8.9,46.1,5.2
Bröd fullkorn råg typ rallarhalvor,246,5.9,46.1,2.1
Bröd fullkorn råg osötat fibrer ca 5%,239,7.1,46.1,1.6
Hårt bröd tunnbröd fullkorn vete råg korn havre,353,10.1,68.9,2.5
Bröd vitt mjukt m. mjölk fibrer ca 4% typ tunnbröd,280,8.0,52.4,3.1
Bröd fullkorn råg m. potatis fibrer ca 5% ,258,5.7,52.4,1.4
Bröd vitt vatten fibrer ca 3% typ ostfralla,274,11.5,47.2,3.4
Riskaka fullkorn solrosfrön majs fett 4% ,394,7.9,77.4,4.4
Riskaka fullkorn smaksatt fett 18% ,461,7.0,65.8,18.1
Bröd vitt glutenfritt,238,1.8,47.3,3.6
Bröd mörkt glutenfritt,269,2.6,46.2,6.8
Bröd vitt typ croissant fransk giffel,363,5.1,36.5,21.6
Potatis höst rå,81,1.8,16.8,0.1
Potatis höst kokt m. salt,85,1.9,17.8,0.1
Potatis m. skal bakad u. salt,91,1.7,19.4,0.1
Potatis m. skal bakad u. salt i aluminiumfolie ,89,1.5,18.1,0.6
Potatis tärnad frysvara,81,1.7,17.3,0.1
Potatis konserv. u. lag,60,1.3,12.2,0.1
Klyftpotatis u. skal ugnsstekt m. rapsolja,120,2.2,23.1,1.6
Potatis råstekt,141,2.2,20.7,4.7
Potatis kokt stekt m. salt,145,2.3,21.8,4.7
Pommes frites friterad potatis värmd i ugn fett ca 7% frysvara,216,3.2,32.0,7.6
Pommes frites friterad potatis fett ca 11% frysvara,243,3.0,30.6,11.4
Pommes frites friterad potatis fett ca 17% tillagad på restaurang,352,3.7,43.4,17.5
Kroppkakor el. potatispalt m. fläsk,169,5.7,22.8,5.7
Sjömansbiff hemlagad,90,6.8,9.2,2.6
Lapskojs,110,4.9,12.5,4.1
Pitepalt,180,4.8,25.1,6.0
Bakad potatis m. kycklingcurryröra sallad,156,3.3,7.1,12.2
Pytt i panna tillagad frysvara,196,4.5,23.3,8.8
Sjömansbiff frysvara,84,6.7,8.6,2.3
Janssons frestelse,161,3.6,14.2,9.6
Laxpudding,111,8.2,9.5,4.1
Sillpudding,125,7.6,9.1,6.2
Bakad potatis m. skagenröra sallad,159,3.1,11.2,10.8
Potatissallad m. gräddfil majonnäs,155,1.9,14.2,9.7
Potatissoppa m. purjolök,49,1.0,6.6,1.8
Pytt i panna m. rotfrukt svamp veg.,82,1.8,10.0,3.1
Potatissallad m. vinägrettsås,112,1.8,14.5,4.8
Potatismospulver berikad,362,8.2,68.2,4.3
Potatispalt,141,4.8,23.8,1.7
Potatis råstuvad hemlagad,78,2.2,14.0,1.2
Potatisgratäng m. mjölk kaffegrädde ost hemlagad,139,5.7,15.0,5.9
Raggmunk potatisplätt potatispannkaka hemlagad,149,4.2,20.0,5.5
Potatis stuvad,95,2.7,14.4,2.5
Potatisbullar stekta,167,4.0,22.1,6.3
Potatismos hemlagad,89,2.3,14.1,2.3
Potatisgratäng m. mjölk ost hemlagad,106,5.0,13.5,3.1
Potatisgratäng m. vispgrädde ost,214,4.5,12.9,15.9
Potatismos m. lättmjölk,86,2.3,14.1,1.9
Potatisgratäng m. lättmjölk ost mager hemlagad,96,5.4,13.5,1.8
Bakad potatis m. färskoströra paprika veg.,93,4.0,15.8,0.9
Schweizisk potatiskaka rösti värmd frysvara,214,2.4,23.4,11.4
Potatiskrokett värmd frysvara,177,2.8,23.9,7.0
Potatismos pulver tillagat berikad,66,1.5,12.5,0.8
Potatisgratäng m. grädde ost värmd frysvara,158,4.6,13.2,9.4
Grönsaksblandning m. morot palsternacka purjolök rotselleri frysvara,36,1.2,5.3,0.5
Jordärtskocka,67,1.9,12.8,0.4
Kålrot,37,1.4,6.1,0.1
Morot,36,0.7,6.6,0.2
Palsternacka,71,1.7,12.6,0.6
Pepparrot,70,3.1,9.5,0.3
Rotselleri,32,1.0,4.4,0.5
Rädisa,11,0.7,0.7,0.4
Rödbeta,51,1.2,9.8,0.1
Rättika,18,1.0,2.5,0.1
Rotpersilja,61,2.3,10.7,0.6
Majrova,35,1.1,6.0,0.3
Svartrot,75,1.4,14.2,0.4
Morot konserv. m. lag,23,0.6,3.9,0.2
Morot konserv. u. lag,23,0.6,4.0,0.2
Morotsjuice,34,0.7,6.3,0.4
Rotmos hemlagad,52,1.0,8.2,1.3
Jordärtskockssoppa veg. ,78,1.1,4.9,5.6
Morot kokt m. salt,36,0.7,6.6,0.2
Morot stuvad,82,1.9,7.1,4.9
Morotssoppa veg. ,35,0.7,4.1,1.5
Ärtsoppa m. morot veg. ,69,4.3,10.8,0.3
Jordärtskocka kokt m. salt,67,1.9,12.7,0.4
Rotfrukter stekta glacerade m. honung,94,1.3,10.4,4.7
Grönsaksbiff rotfruktsbiff stekt veg.,115,6.1,5.1,7.5
Rödbeta kokt u. salt,51,1.2,9.8,0.1
Borsjtj rödbetssoppa,30,0.7,4.0,1.0
Rödbeta inlagd u. lag,58,1.3,12.0,0.1
Avokado,197,1.9,1.7,19.6
Stjälkselleri,13,0.7,1.5,0.1
Blomkål,24,1.9,2.6,0.2
Blomkål frysvara,24,2.0,2.3,0.3
Bondbönor färska kokta u. salt,102,9.0,9.7,1.0
Broccoli,40,4.3,2.3,0.6
Broccoli frysvara,24,2.4,1.8,0.3
Brysselkål,44,3.4,4.7,0.3
Brysselkål frysvara,41,3.8,3.4,0.4
Mungbönsgroddar,34,3.0,3.2,0.4
Sojabönsgroddar,146,13.1,7.0,6.7
Gröna bönor,27,2.1,2.1,0.4
Gröna bönor frysvara,35,2.2,4.5,0.2
Champinjon,27,2.4,2.7,0.2
Friséesallat,17,1.8,1.0,0.2
Endivesallat,14,1.0,1.1,0.1
Fänkål,28,2.8,1.8,0.4
Grönkål,40,3.4,3.2,0.7
Grönkål frysvara,30,2.7,2.3,0.5
Gurka,13,0.8,2.3,0.0
Isbergssallat,14,0.8,2.5,0.1
Kronärtskocka,52,2.7,7.3,0.2
Kålrabbi,29,1.7,4.4,0.1
Lök gul,39,1.2,7.3,0.1
Majskolv,125,3.9,22.1,1.6
Majskolv frysvara,111,3.3,21.5,0.8
Majskorn frysvara,99,3.0,15.6,1.5
Mangold,21,1.8,2.6,0.2
Nässlor förvällda,30,4.1,0.6,0.7
Paprika grön,18,0.5,3.0,0.1
Paprika röd,22,0.5,4.1,0.2
Persilja blad,35,2.2,4.4,0.3
Pumpa,26,1.0,4.4,0.1
Purjolök,30,1.6,4.1,0.2
Rödkål,31,1.1,4.7,0.3
Savojkål,28,2.0,3.6,0.1
Salladskål,21,1.3,2.7,0.1
Sockerärtor,37,3.4,4.3,0.2
Spenat frysvara,20,2.2,0.5,0.6
Squash,14,0.0,2.5,0.1
Tomat,18,0.8,2.6,0.1
Tomat torkad m. olja,190,5.0,8.7,12.5
Trädgårdskrasse,37,2.6,4.3,0.7
Vattenkrasse,15,1.9,0.5,0.3
Vaxbönor,32,1.8,4.7,0.1
Vaxbönor frysvara,29,1.8,3.8,0.1
Vitkål,30,1.1,4.7,0.1
Vitlök,160,6.4,31.1,0.5
Aubergine,19,1.1,2.2,0.1
Gröna ärtor frysvara,69,5.2,8.9,0.4
Alfalfagroddar,32,4.0,0.9,0.7
Dill färsk,58,3.7,7.4,0.8
Gräslök,28,2.8,1.7,0.6
Basilika färsk,25,2.5,0.4,0.6
Chilipeppar färsk,47,2.0,9.2,0.2
Paprika gul,24,0.5,4.3,0.2
Paprika grön röd frysvara,26,1.0,3.0,0.4
