livsmedel,calorie,protein,carb,fat
Vinbär röda,48,1.2,8.7,0.2
Vinbär svarta,68,1.4,10.2,1.1
Vindruvor,70,0.6,15.6,0.2
Äpple m. skal,48,0.0,10.6,0.0
Äpple u. skal ,57,0.0,13.4,0.1
Hallon frysvara,38,1.0,5.4,0.5
Björnbär frysvara,58,1.0,8.8,0.5
Björnbär m. socker frysvara,69,1.0,12.0,0.5
Jordgubbar frysvara,33,0.5,6.4,0.3
Hallon blåbär frysvara,44,1.0,6.6,0.7
Apelsinskal,104,1.5,21.8,0.2
Aprikos torkad,190,2.2,41.0,0.5
Banan torkad,374,3.9,80.8,1.8
Blåbär torkade,303,1.7,63.8,2.4
Citronskal,64,1.5,11.9,0.3
Dadlar torkade,321,2.4,71.9,0.6
Fikon torkade,269,3.1,55.9,1.2
Katrinplommon torkade,219,2.3,48.6,0.3
Nypon torkat u. frön,328,3.7,68.4,1.4
Nyponsoppapulver berikad,384,0.7,91.1,0.2
Persika torkad,252,3.6,52.9,0.8
Päron torkade,282,1.9,63.4,0.6
Russin,285,1.9,64.4,0.5
Äpple torkat,257,0.9,57.2,0.3
Frukt torkad,266,3.3,56.8,0.5
Papaya torkad,263,3.4,57.6,0.6
Ananas konserv. m. juice,62,0.4,14.2,0.1
Ananas konserv. m. sockerlag,86,0.4,20.2,0.1
Aprikos konserv. m. juice,52,0.6,11.4,0.0
Aprikos konserv. m. sockerlag,118,0.5,27.7,0.1
Körsbär surkörsbär konserv. m. sockerlag,94,0.7,21.5,0.1
Persika konserv. m. sockerlag,83,0.4,19.5,0.1
Plommon konserv. m. sockerlag,94,0.4,21.8,0.1
Päron konserv. m. lättsockrad lag,60,0.2,13.8,0.0
Päron konserv. m. sockerlag,77,0.2,17.6,0.1
Äpple konserv.,69,0.2,14.9,0.5
Grapefrukt konserv. m. lättsockrad lag,63,0.6,14.6,0.1
Fruktcocktail konserv. m. sockerlag,81,0.4,18.9,0.0
Mandarin konserv. m. lättsockrad lag,65,0.4,14.6,0.1
Mango konserv. m. sockerlag,99,0.3,23.3,0.1
Apelsinsallad,109,1.5,14.3,4.7
Frukt bär konserv. osötad el. sötningsm.,35,0.4,7.6,0.1
Fruktsallad,56,0.6,11.8,0.3
Apelsinjuice färskpressad,48,0.7,10.6,0.2
Apelsinjuice konc. frysvara,165,2.4,37.5,0.2
Apelsinjuice drickf.,39,0.7,8.6,0.1
Citronjuice färskpressad,29,0.6,6.5,0.0
Citronjuice konc. konserv.,32,0.4,6.8,0.3
Småcitrusjuice färskpressad,44,0.5,9.9,0.2
Grapefruktjuice färskpressad,45,0.6,10.2,0.1
Limejuice färskpressad,40,0.4,9.1,0.1
Risgrynsgröt lättmjölk fett ca 1%,79,3.2,13.3,1.3
Risgrynsgröt,86,3.2,13.3,2.1
Limejuice konc. konserv.,28,0.2,6.2,0.2
Druvjuice konserv. drickf.,63,0.6,14.6,0.0
Äppeljuice drickf.,40,0.2,9.7,0.0
Ananasjuice konserv. drickf.,55,0.3,12.8,0.1
Apelsinjuice pastöriserad drickf.,43,0.6,9.8,0.1
Juice,40,0.6,8.9,0.1
Aprikosnektar pastöriserad drickf.,58,0.3,13.1,0.1
Persikonektar pastöriserad drickf.,55,0.3,13.0,0.0
Katrinplommondryck konserv. drickf.,70,0.6,15.5,0.0
"Havredryck choklad fett 1,5%  berikad",71,1.2,12.3,1.6
Bovetegröt m. russin,106,2.0,22.2,0.6
Grahamsgröt,75,2.4,13.6,0.4
Havregrynsgröt fullkorn,66,1.7,11.3,1.2
Molinogröt grahamsmjöl m. torkad frukt linfrö,89,2.4,12.4,2.5
Frukostflingor ris puffat rostat osötat,383,6.0,86.0,0.9
Rågkross ångprep. fullkorn,326,9.0,57.2,2.5
Kornmjölsgröt,63,1.7,11.9,0.6
Mannagrynsgröt,79,4.3,11.1,1.8
Kruskagröt fullkorn m. havregryn vetekli russin,66,1.5,11.7,0.8
Rågmjölsgröt,75,1.9,13.6,0.4
Stuvning vit,101,4.3,8.3,5.6
Välling fullkorn berikad,70,3.6,9.2,1.9
Havrevälling hemlagad,78,2.9,12.7,1.5
Mannagrynsvälling hemlagad,68,3.8,9.2,1.7
Välling berikad,64,3.3,8.6,1.7
"Havredryck fett 1,5% berikad",48,1.0,7.1,1.5
Havregryn fullkorn,375,9.5,64.1,7.0
Fiberhavregryn fullkorn havre m. vetekli,371,10.0,60.5,7.3
Havrekli,356,15.1,48.4,7.4
Korngryn ångprep. fullkorn,351,9.2,65.4,3.1
Frukostflingor majs osötad berikad typ cornflakes,380,8.0,82.5,0.9
Vetekross ångprep. fullkorn,328,10.2,61.0,2.0
Vetegroddar,349,27.5,31.4,9.4
Vetekli,277,14.9,25.5,4.6
Frukostflingor vete fullkorn typ Weetabix,366,11.3,68.4,2.5
Kruskakli grovt vetekli,269,12.7,24.9,5.0
Frukostflingor flingblandning fullkorn typ basmüsli,367,9.3,67.6,4.1
Frukostflingor ris puffat m. socker berikad,385,5.4,86.3,1.2
Frukostflingor vetekli rostat m. kornmalt,367,10.3,65.5,3.6
Frukostflingor ris puffat rostat m. socker kakao,393,4.6,85.2,2.6
Frukostflingor müsli fullkorn m. frukt bär,370,8.2,64.8,6.6
Frukostflingor müsli flingblandning fullkorn m. frukt nötter m. socker el. honung,369,8.0,70.6,3.8
Frukostflingor vetekli fullkorn berikad,364,9.9,66.8,2.8
Frukostflingor fullkorn typ Specialflingor,384,9.0,78.9,2.2
Frukostflingor vete puffat m. honung berikad,388,8.3,76.9,3.0
Frukostflingor majs m. socker,382,4.3,86.4,0.9
Frukostflingor fullkorn m. socker berikad typ ringar,379,7.7,75.5,3.2
Pannkaka tunn hemlagad,186,6.5,25.9,5.8
Fattiga riddare,273,7.2,30.8,13.0
Pannkaka tunn lättmjölk,157,6.6,17.5,6.4
Ugnspannkaka lättmjölk,152,6.1,15.2,7.2
Ugnspannkaka mellanmjölk,159,6.1,15.2,8.0
Våffla m. ägg,286,5.5,21.8,19.6
Våffla u. ägg,322,3.3,21.4,24.8
Fläskpannkaka,196,7.5,12.5,12.9
Räkcrêpe m. mellanmjölk vispgrädde fyllning 44% hemlagad,149,8.0,11.3,7.8
Räkcrêpe värmd fyllning 37% frysvara,175,6.5,18.9,8.0
Champinjoncrêpe m. mellanmjölk vispgrädde veg. hemlagad,166,6.5,12.4,9.9
Baguette m. salami brieost soltorkad tomat sallad,240,9.3,19.7,13.4
Ciabatta m. mozzarella soltorkad tomat sallad,191,7.9,25.1,5.9
Bagel m. rökt lax färskost sallad,212,9.0,26.8,7.0
Champinjoncrêpe värmd veg. frysvara,163,5.4,19.0,6.8
Crêpefyllning m. spenat färskost fetaost skinka,130,10.2,1.7,9.1
Crêpes pannkaka tunn fylld,175,8.4,14.9,8.8
Vårrulle värmd frysvara,217,6.9,22.4,10.8
Vårrulle värmd tillagad på restaurang,316,6.6,18.7,23.8
Deg matpaj gräddad,445,4.6,38.0,30.3
Pirog u. fyllning gräddad,450,5.4,37.7,30.7
Deg smulpaj gräddad,481,4.7,52.2,27.8
Paj m. köttfärs,236,11.2,12.3,15.6
Paj m. kyckling bacon,226,9.4,12.1,15.4
Pirog m. köttfärs,243,9.6,19.9,13.1
Pizza m. skinka champinjoner lök sardeller hemlagad,209,9.4,22.3,8.7
Paj m. köttfärs värmd frysvara,344,9.9,26.1,22.1
Pirog m. kött värmd frysvara,295,8.8,33.5,13.6
Pizza Capricciosa m. rökt skinka värmd kylvara el. frysvara,248,11.5,27.0,10.1
Pizza Capricciosa m. rökt skinka champinjon restaurang,267,11.0,25.0,13.4
Pizza Pepperoni m. rökt korv värmd frysvara,235,9.1,30.5,7.8
Pizza pan pizza m. rökt griskött värmd frysvara,280,13.1,26.5,13.2
Pizza pan pizza m. rökt griskött restaurang,238,11.4,26.3,9.2
Paj m. ost skinka värmd frysvara,296,11.5,20.5,18.7
Paj m. lax spenat,178,8.3,13.5,9.9
Pizza m. räkor musslor hemlagad,237,10.7,22.6,11.1
Vol-au-vent m. räkstuvning,249,6.3,24.0,14.0
Paj m. skaldjur värmd frysvara,306,10.4,22.0,19.6
Pizza Marinara m. skaldjur restaurang,258,12.9,22.2,12.7
Pizza veg. hemlagad,179,6.4,19.1,8.0
Pizza Margherita m. ost tomatsås hemlagad,246,9.0,27.6,10.4
Kycklingburgare m. bröd tillbehör,228,10.7,22.8,10.1
Fiskburgare m. bröd tillbehör,280,12.4,27.3,13.1
Baguette m. rostbiff potatissallad sallad,197,6.6,28.4,5.6
Baguette grov m. skaldjur tonfisk smögenröra sallad,189,5.7,26.2,6.1
Baguette grov m. ost skinka sallad lättmajonnäs,184,7.7,25.9,4.6
Bagel m. salami färskost sallad oliv,166,5.9,17.2,7.5
Sandwich m. räkor ägg sallad majonnäs,295,7.3,21.6,19.7
Sandwich m. rökt kalkon färskost soltorkad tomat sallad,180,10.3,21.2,5.3
Sandwich m. salami färskost sallad,164,9.1,16.2,6.4
Tunnbrödsrulle m. pastrami potatis sallad majonnäs,159,5.4,15.6,7.8
Wrap vetetortilla m. ris köttfärs majs ost,142,7.9,19.3,3.3
Wrap vetetortilla fajitas m. kyckling gräddfil sallad,136,5.7,11.1,7.1
Wrap vetetortilla enchilada m. köttfärs majschips ost sallad paprika tomat tomatsås,170,6.7,11.7,10.2
Falafel m. pitabröd sallad sesamsås pepperoni,150,5.2,17.3,5.7
Paj m. ost skinka mellanmjölk matlagningsgrädde hemlagad,286,11.4,15.0,19.8
Wrap vetetortilla m. fetaost oliver sallad vitlöksdressing,175,5.1,20.1,7.5
Matmuffins grov fullkorn m. getost fårost broccoli spenat soltorkade tomater,292,9.5,26.0,16.0
Pizzapålägg m. tomatsås skinka champinjoner hårdost,153,10.8,5.4,9.5
Paj m. ost skinka mellanmjölk hemlagad,235,10.0,13.3,15.6
Smörgåstårta el. landgång,237,8.7,15.1,15.5
Råris kokt m. salt,107,2.5,21.3,0.9
Rismjöl vitt,358,5.8,80.2,0.5
Risdiet flingor,371,7.0,80.9,1.1
Ris kinesiskt asiatiskt kokt u. salt tillagad på restaurang,144,2.7,30.1,1.2
Ris vildris okokt,360,14.7,68.7,1.1
Ris vildris kokt m. salt,102,4.0,19.5,0.3
Nudlar glasnudlar okokta,350,0.2,85.6,0.1
Vinbladsdolma m. ris konserv. veg.,162,2.5,11.5,11.3
Bovete hela el. krossade korn,353,9.6,70.0,2.5
Durra el. andra sorghumarter mjöl fullkorn,351,10.3,61.4,4.7
Hirs hela el. krossade korn fullkorn,352,10.5,68.4,2.9
Mannagryn,351,10.1,72.1,1.3
Bulgur,353,12.3,68.2,1.3
Bulgur kokt,129,4.3,23.1,1.2
Couscous,361,12.8,72.4,0.6
Couscous tillagad,108,3.8,21.8,0.2
Korngryn ångprep. fullkorn kokt m. salt,80,1.8,13.6,0.4
Hirs kokt m. salt fullkorn,97,2.9,18.9,0.8
Majsgryn polenta kokt m. salt,68,1.7,13.4,0.4
Apelsinris,95,2.0,12.9,3.7
Ris à la Malta m. grädde fett 40%,132,2.9,15.7,6.3
Risgrynskaka risgrynspudding,142,4.1,14.5,7.5
Rismål fett 6%,154,2.8,20.8,6.4
"Rismål lätt fett 1,5%",103,2.1,19.9,1.5
Paella,146,11.0,11.9,6.0
Nudelsoppa m. risnudlar curry sesamolja,52,0.7,10.3,0.7
Pasta okokt,358,11.9,71.5,1.3
Pasta kokt u. salt,128,4.2,25.8,0.5
Pasta fullkorn okokt,345,11.0,66.6,1.5
Pasta färsk m. ägg kokt u. salt,132,5.3,22.8,1.6
Stuvade makaroner,124,5.3,18.8,2.7
Pastagratäng makaronipudding,129,7.9,13.4,4.6
Spagetti m. köttfärssås,128,6.7,17.0,3.3
Ravioli m. sås frysvara el. konserv.,106,3.8,14.7,3.5
Tortellini m. kött,157,5.6,22.2,4.3
Lasagne m. spenat chèvre veg. ,144,6.7,12.2,7.1
Pastagratäng makaronipudding veg.,123,6.3,15.0,3.9
Lasagne värmd frysvara,140,6.6,14.4,5.9
Nudlar äggnudlar okokta,377,14.0,68.2,4.2
Tortellini m. ostfyllning veg.,186,7.2,25.7,5.3
Nudelsoppa olika smaker kryddad,81,1.9,9.4,3.4
Bondbönor torkade,318,25.0,41.9,1.7
Bruna bönor torkade,317,22.0,45.1,1.5
Röda bönor torkade,324,22.0,48.0,1.5
Röda bönor torkade kokta u. salt,108,7.8,14.5,0.5
Vita bönor torkade,319,22.0,45.7,1.6
Vita bönor torkade kokta u. salt,108,7.8,14.2,0.6
Kikärtor torkade,352,20.5,51.0,4.8
Mungbönor torkade kokta u. salt,112,8.6,14.5,0.7
Mungbönor torkade,320,24.0,44.5,1.3
Sojabönor torkade,398,34.0,18.3,17.7
Sojabönor torkade kokta u. salt,128,11.0,5.8,5.7
Vignabönor svartögda bönor torkade,336,23.0,52.1,1.5
Vignabönor svartögda bönor torkade kokta u. salt,69,5.1,9.1,0.3
Gröna el. gula ärtor torkade,317,21.5,49.2,1.0
Ärtsoppa m. fläsk hemlagad,85,6.4,8.9,2.1
Gryta chili con carne,103,7.5,7.8,3.9
Ärtsoppa fläsk tillagad konserv. m. vatten,85,6.1,7.1,2.3
Vita bönor m. tomatsås konserv.,95,5.1,15.0,0.5
Bönsoppa vita bönor m. tomat veg. ,51,2.5,4.9,1.7
Linssoppa veg. ,63,3.8,8.1,1.0
Ärtsoppa veg.,78,5.1,12.0,0.3
Tofu fast,70,6.6,1.2,4.2
Sojamjöl fett ca 20%,446,37.0,16.0,23.5
Sojadryck,34,3.1,1.9,1.5
Miso sojabönspasta fermenterad,208,9.7,15.5,10.5
Sojasås,57,7.5,6.6,0.0
Sojasås söt,193,4.3,38.5,2.1
Korv veg. sojakorv konserv. fett 15%,199,12.0,3.5,15.0
Glass sojaglass mjölkfri fett 11%,216,2.2,27.0,11.0
Sojabönsbiff stekt,180,7.2,15.6,9.2
Korv veg. soja- och veteprotein tillagad typ grillkorv,128,16.3,9.3,1.7
Falafel kikärtsbiff friterad hemlagad,157,6.7,11.6,7.2
Lamm bog rå,134,20.1,0.0,5.9
Lamm kotlett rå,230,19.0,0.0,17.3
Lamm lägg rå,137,24.5,0.0,4.2
Lamm rygg el. hals rå,177,17.6,0.0,11.9
Lamm stek rå,108,20.9,0.0,2.6
Lamm färs rå fett 20%,245,17.4,0.0,19.7
Lamm tunnbringa rå,184,17.8,0.0,12.6
Lamm kotlett rå fett bortskuret,103,20.0,0.0,2.5
Hare kött rå,115,21.5,0.0,3.1
Hjort dovhjort bog rå,106,22.5,0.0,1.6
Hjort dovhjort stek rå,98,22.0,0.0,1.0
Hjort ryggbiff rå,102,22.6,0.0,1.2
Häst kött rå,166,19.0,0.0,10.0
Kalv bog rå,106,19.9,0.0,2.8
Kalv bringa rå,186,18.1,0.0,12.7
Kalv filé rå,105,20.0,0.0,2.7
Kalv fransyska rå,108,19.9,0.0,3.1
Kalv innanlår rå,107,21.0,0.0,2.5
Kalv kotlett rå,122,20.5,0.0,4.4
Kalv lägg rå,98,20.0,0.0,1.9
Kalv ytterlår rå,117,21.2,0.0,3.5
Kalv tunnbringa rå,173,18.7,0.0,11.0
Kalv högrev rå,135,19.2,0.0,6.4
Kanin kött rå,125,22.0,0.0,4.0
Nöt clubstek biff rå m. ben,162,19.7,0.0,9.3
Nöt ryggbiff rå,123,21.8,0.0,3.8
Nöt oxbringa rå,205,17.6,0.0,15.1
Nöt oxbringa rimmad rå,205,17.6,0.0,15.1
Nöt oxfilé rå,124,21.7,0.0,4.1
Nöt fransyska rå,116,20.8,0.0,3.5
Nöt färs rå fett 10%,182,20.1,0.0,11.3
Nöt högrev rå fett bortskuret,145,20.6,0.0,6.9
Nöt innanlår rå,111,23.8,0.0,1.6
Nöt lägg rå,108,20.5,0.0,2.8
Nöt bog el. märgpipa rå,118,21.0,0.0,3.7
Nöt rostbiff rå,121,22.7,0.0,3.2
Nöt rulle rimmad rå,103,21.5,0.0,1.8
Nöt ytterlår rå,111,21.3,0.0,2.8
Nöt entrecôte rå,142,21.7,0.0,6.1
Nöt grytbitar rå,145,20.6,0.0,6.9
Nöt kött hackebiff rå frysvara,159,20.0,0.0,8.8
Nöt färs rå fett 15%,211,19.4,0.0,15.0
Ren stek rå,108,22.6,0.0,1.8
Ren bog rå,109,23.3,0.0,1.6
Ren skav rå frysvara,126,20.3,0.0,4.9
Rådjur kött rå,108,24.0,0.0,1.2
Gris bog rå,137,18.5,0.0,7.0
Gris fläskfilé rå,107,20.6,0.0,2.6
Gris fläskkotlett rå fettkant 5 mm,185,19.4,0.0,12.0
Gris revbensspjäll rå,193,17.7,0.0,13.7
Gris fötter rå,207,23.5,0.0,12.6
Gris skinka julskinka rimmad rå fett ca 3%,108,20.1,0.0,3.0
Gris fläskben rå,193,17.7,0.0,13.7
Gris picnicbog rå,121,19.5,0.0,4.7
Gris grytbitar rå,164,19.3,0.0,9.7
Gris fläskkarré rå,171,17.8,0.0,11.2
Gris färs rå fett 20%,242,16.0,0.0,20.0
Gris bogbladsstek rå,137,18.5,0.0,7.0
Gris fläskkotlett rå fett bortskuret,103,21.6,0.0,1.7
Gris fläskkotlett rå fettkant 2 mm,134,20.0,0.0,6.0
Gris lägg putsad rå u. svål,126,19.7,0.0,5.2
Gris sidfläsk bit rå m. svål,268,17.2,0.0,22.4
Gris stekfläsk sida skiva rå m. svål,252,17.1,0.0,20.7
Gris flintastek rå m. svål,191,18.8,0.0,13.0
Gris skinka innanlår rå,100,20.8,0.0,1.8
Gris skinka fransyska rå,101,19.8,0.0,2.3
Gris skinka ytterlår rå,123,19.7,0.0,4.9
Gris sidfläsk el. stekfläsk skivor rimmat rå,353,11.6,0.0,34.6
Gris färs rå fett 8%,144,18.0,0.0,8.0
Älg skav rå frysvara,123,19.8,0.0,4.8
Nöt oxsvans rå fett bortskuret,171,20.0,0.0,10.1
Gris svål rå,277,23.5,0.0,20.5
Häst hamburgerkött rökt,100,21.0,0.0,1.7
Nöt saltkött rimmat kokt,110,22.5,0.0,2.1
Nöt kött rökt,106,20.0,0.0,2.8
Ren stek varmrökt,123,23.1,0.1,3.2
Ren kött torkat,330,40.0,3.0,17.6
Gris bacon rå,344,13.4,0.0,32.8
Gris bacon stekt,412,17.0,0.0,38.8
Gris bog konserv. gelé 6-8%,116,16.6,0.2,5.4
Gris kassler kotlettrad rökt,106,20.7,0.5,2.2
Gris skinka konserv. gelé 8-11%,101,18.3,0.0,3.0
Gris skinka lufttorkad italiensk,245,31.9,1.5,12.4
Gris skinka rökt fett 6%,138,21.0,0.0,6.0
Gris skinka skivad rökt fett 1-3%,99,18.4,1.3,2.2
Gris sidfläsk rökt,394,15.4,0.0,37.5
Nöt kött konserv.,218,27.0,0.4,12.1
Nöt flankstek rå,134,22.0,0.0,5.1
Nöt ryggbiff stekt,144,25.5,0.0,4.5
Nöt entrecôte stekt,165,25.2,0.0,7.1
Gris bog stekt,163,22.0,0.0,8.3
Gris kött kokt m. salt,179,22.7,0.0,9.8
Gris fläskben kokt m. salt,225,20.6,0.0,15.9
Gris fläskfilé skiva stekt,128,24.6,0.0,3.1
Gris fläskkarré skiva stekt,202,21.0,0.0,13.2
Gris fläskkotlett stekt,217,22.7,0.0,14.1
Gris lägg kokt m. salt u. svål,149,23.3,0.0,6.2
Gris kött grillat,179,22.7,0.0,9.9
Rullsylta,246,19.2,0.0,19.0
Gris fötter kokta m. salt,238,27.0,0.0,14.5
Hare stek stekt,141,26.4,0.0,3.8
Kalv filé stekt,123,23.5,0.0,3.2
Kalv kotlett stekt,143,24.0,0.0,5.1
Kalv kött kokt m. salt,186,24.1,0.0,9.8
Kalv stek stekt,126,24.6,0.0,2.9
Lamm kotlett stekt,231,22.1,0.0,16.1
Lamm stek stekt,119,24.0,0.0,2.4
Nöt högrev kokt m. salt,184,26.1,0.0,8.8
Nöt stek el. grytstek kokt m. salt,149,26.7,0.0,4.5
Nöt oxbringa rimmad kokt u. salt,252,21.6,0.0,18.6
Oxrullad nöt stekt,137,24.3,0.9,3.8
Nöt rostbiff ugnsstekt,141,26.4,0.0,3.7
Gris revbensspjäll ugnsstekt grillat,294,16.9,2.2,24.4
Rådjur kött ugnsstekt,132,29.4,0.0,1.5
Ren kött kokt m. salt,133,28.2,0.0,2.1
Ren kött ugnsstekt,132,27.7,0.0,2.2
Älg stek ugnsstekt el. grillad,132,27.0,1.8,1.6
Gris fläskkarré tillagad u. sky,224,18.0,0.0,17.1
Gris skinkstek stekt u. sky frysvara,164,26.5,0.0,6.4
Nöt stek stekt u. sky frysvara,135,25.5,0.0,3.6
Nöt rostbiff tillagad ugnsrostad u. salt,124,24.0,0.0,3.0
Gris revbensspjäll tillagad u. sky,283,18.0,0.0,23.7
Gryta dillkött nöt m. sås,114,8.2,4.9,6.8
Biff stroganoff nöt,151,13.1,2.1,10.0
Rimmat sidfläsk el. stekfläsk stekt m. löksås,199,6.5,7.0,16.2
Rimmat sidfläsk panerat stekt,373,14.1,7.8,32.0
Fläskkotlett panerad stekt,267,19.2,6.7,18.1
Schnitzel gris stekt,212,19.6,9.7,10.2
Gryta gulasch nöt,75,8.3,3.6,2.8
Gryta osso buco kalvläggsgryta ,85,7.8,4.1,3.6
Köttsoppa nöt,39,4.5,2.3,1.1
Gryta lamm m. lök tomat,99,8.4,3.6,4.9
Pepparrotskött nöt m. lök morot sås,134,13.7,2.0,7.8
Renskav brynt m. matfett salt,213,22.3,0.0,13.8
Gryta renskavsgryta,138,8.2,8.7,7.6
Skinksås,118,8.4,6.4,6.6
Gryta kalops nöt hemlagad,77,7.2,3.0,3.8
Biff stroganoff nöt frysvara,108,11.9,4.8,4.4
Gryta dillkött nöt m. sås frysvara,101,11.0,2.7,5.0
Kinesisk rätt gris friterat m. grönsaker,185,6.8,18.0,9.4
Gryta chop suey fläskfilé tillagad på restaurang,96,7.2,3.1,5.7
Nasi Goreng gris tillagad på restaurang,176,7.9,18.8,7.2
Frikassé kalv frysvara,126,14.8,2.5,6.2
Gryta kalops nöt frysvara,123,14.2,2.8,6.0
Köttsoppa nöt tillagad konserv. m. vatten,16,1.5,1.0,0.4
Kycklingburgare rå fett ca 7% frysvara,168,15.0,11.0,7.0
Köttbullar kyckling stekta fett 12% frysvara,224,16.0,13.0,12.0
Hamburgare nöt rå frysvara,221,14.7,2.0,17.3
Köttbullar frysvara,217,12.3,6.5,15.6
Pannbiff rå frysvara,204,13.2,5.6,14.4
Burgare veg. soja- och veteprotein tillagad,172,16.3,6.7,7.7
Biff à la Lindström stekt hemlagad,148,12.3,6.1,8.1
Köttbullar blandfärs stekta hemlagade,177,15.8,5.8,10.0
Köttfärslimpa ugnsstekt hemlagad,142,14.0,4.0,7.7
Köttfärssås i gjutjärn hemlagad,100,8.3,4.7,5.1
Pannbiff gris stekt,219,14.1,4.3,16.2
Hamburgare nöt stekt fett 10%,225,25.0,0.0,14.0
Hamburgare nöt stekt fett 15%,251,23.8,0.0,17.5
Järpar blandfärs stekta,193,13.4,5.2,13.1
Frikadeller kalv,153,17.6,4.5,7.0
Wallenbergare kalv stekt,245,16.6,6.9,16.7
Köttfärssås nöt,116,9.2,4.7,6.5
Köttfärssoppa,49,4.4,2.3,2.2
Köttbullar nöt stekta,171,16.6,4.1,9.7
Köttbullar gris stekta,213,13.3,5.8,15.2
Köttfärssås gris,137,7.6,4.6,9.7
Nöt färs stekt tacokryddad hemlagad kryddning,245,22.2,0.9,16.9
Pannbiff lamm stekt,215,15.0,4.3,15.4
Köttfärslimpa gris ugnsstekt hemlagad,210,13.5,4.2,15.5
Köttfärslimpa blandfärs ugnsstekt hemlagad,191,15.0,4.2,12.6
Pannbiff nöt stekt,179,17.2,4.4,10.2
Pannbiff blandfärs stekt,199,15.7,4.4,13.2
Parisersmörgås,184,11.4,12.7,9.4
Pannbiff älg stekt,114,17.9,4.1,2.6
Köttfärssås älg,82,9.9,4.5,2.5
Taco tacoskal m. köttfärs grönsaker ost,148,7.9,6.7,9.8
Biff à la Lindström stekt frysvara,192,12.8,5.8,12.7
Gryta biff m. bambuskott tillagad på restaurang,97,8.2,2.4,5.8
Hamburgare nöt stekt frysvara,260,14.0,5.4,20.3
Kålpudding m. vitkål köttfärs,96,6.6,5.7,5.0
Köttfärssås frysvara el. konserv.,101,6.1,5.7,5.8
Kåldolmar stekta u. sås frysvara,99,6.0,4.6,5.9
Kåldolmar stekta värmda m. sås frysvara,93,4.8,6.4,5.1
Köttbullar stekta m. sås frysvara,145,8.0,5.9,10.0
Pannbiff stekt frysvara,213,14.0,7.6,14.1
Anka bröst rå,119,19.9,0.0,4.3
Anka rå m. skinn,396,11.5,0.0,39.5
Duva rå,137,17.5,0.0,7.5
Duva rå m. skinn,287,18.5,0.0,24.0
Fasan rå,127,23.5,0.0,3.6
Fasan rå m. skinn,174,22.5,0.0,9.3
Gås rå,156,23.0,0.0,7.1
Gås rå m. skinn,362,15.9,0.0,33.6
Höna rå,141,21.0,0.0,6.3
Höna rå m. skinn,262,18.7,0.0,21.0
Kalkon filé rå,106,24.1,0.0,0.9
Kalkon rå m. skinn,126,21.0,0.0,4.6
Kyckling kött rå u. skinn,115,21.5,0.0,3.1
Kyckling kött rå m. skinn,170,18.0,0.0,11.0
Kyckling bröstfilé rå m. skinn,148,21.5,0.0,6.9
Kyckling lår rå m. skinn,196,18.9,0.0,13.5
Kyckling vinge rå m. skinn,186,19.2,0.0,12.2
Ripa rå,113,23.5,0.0,2.0
Kyckling bröstfilé färsk stekt u. skinn,116,23.0,0.0,2.5
Kyckling ben rå m. skinn,198,19.3,0.0,13.5
Kyckling bröstfilé strimlad wokad u. skinn m. rapsolja,164,29.4,0.0,5.0
Kyckling bröstfilé rå u. skinn,104,23.1,0.0,1.2
Kyckling lår rå u. skinn,114,19.6,0.0,3.9
Kyckling delar marinerade m. skinn,175,17.0,0.0,12.0
Struts filé rå,109,23.0,0.0,1.7
Struts filé stekt,170,30.0,0.6,5.1
Kalkon kokt,139,22.0,0.0,5.6
Duva m. skinn stekt m. salt,344,22.2,0.0,28.7
Kyckling kokt m. salt,171,32.0,0.0,4.6
Kyckling grillad m. skinn,214,22.6,0.0,13.8
Fasan stekt m. skinn,189,28.9,0.0,8.1
Gås stekt m. skinn,324,25.9,0.0,24.7
Höna kokt m. salt,206,30.7,0.0,9.2
Kalkon stekt m. skinn,161,26.8,0.0,5.9
Kyckling bröstfilé m. skinn stekt m. salt,187,27.1,0.0,8.7
Ripa stekt,144,30.0,0.0,2.6
Kyckling kött kokt stekt grillat,168,24.6,0.0,7.8
Kalkon rökt,133,24.0,0.0,4.0
Kyckling marinerad grillad m. skinn,167,19.7,0.0,9.8
Kyckling friterad m. frityrsmet,310,22.5,5.8,21.9
Ostsufflé,170,10.9,6.7,11.1
Bondomelett,122,6.7,8.8,6.5
Braxen rå,103,16.7,0.0,4.0
Regnbågslax rå,160,18.6,0.0,9.6
Sej rå,82,19.1,0.0,0.5
Hälleflundra vild rå,139,15.5,0.0,8.6
Kycklingsoppa thailändsk,70,7.8,1.5,3.5
Kyckling nugget friterad tillagad på restaurang,221,16.8,14.2,10.4
Kycklingsoppa tillagad redd pulver m. vatten mjölk,51,1.9,5.1,2.4
Kycklingsoppa tillagad redd pulver m. vatten,40,0.6,5.8,1.3
Kalvbuljong pasta el. pulver storhushåll,222,18.8,18.5,8.0
Kalvbuljong pasta el. pulver lågsalt storhushåll,292,25.0,35.0,5.5
Köttbuljong pasta el. pulver storhushåll,201,15.2,23.4,5.0
Köttbuljong pasta el. pulver lågsalt storhushåll,239,10.0,39.0,4.5
Skinkbuljong pasta el. pulver storhushåll,249,19.5,13.5,13.0
Hönsbuljong pasta el. pulver lågsalt storhushåll,320,14.0,32.0,15.0
Hönsbuljong pasta el. pulver storhushåll,238,14.7,16.2,12.7
