date,time,section,calorie_acc,calorie,protien,distance,type,note
2024-11-06,15:30,FOOD,-574.0,500.0,20.0,0,0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella"
2024-11-06,16:00,REST,-626.25,-52.25,0.0,0,0,0
2024-11-06,16:00,FOOD,-126.25,500.0,10.0,0,0,Protein bars
2024-11-06,17:00,REST,-178.5,-52.25,0.0,0,0,0
2024-11-06,18:00,REST,-230.75,-52.25,0.0,0,0,0
2024-11-06,19:00,REST,-283.0,-52.25,0.0,0,0,0
2024-11-06,20:00,REST,-335.25,-52.25,0.0,0,0,0
2024-11-06,21:00,REST,-387.5,-52.25,0.0,0,0,0
2024-11-06,22:00,REST,-439.75,-52.25,0.0,0,0,0
2024-11-06,23:00,REST,-492.0,-52.25,0.0,0,0,0
2024-11-07,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-07,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-07,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-07,03:00,REST,-209.0,-52.25,0.0,0,0,0
2024-11-07,04:00,REST,-261.25,-52.25,0.0,0,0,0
2024-11-07,04:35,WALK,-684.25,-423.0,0.0,"8,47",0,15
2024-11-07,05:00,REST,-736.5,-52.25,0.0,0,0,0
2024-11-07,06:00,REST,-788.75,-52.25,0.0,0,0,0
2024-11-07,06:30,FOOD,-288.75,500.0,20.0,0,0,Porridge
2024-11-07,07:00,REST,-341.0,-52.25,0.0,0,0,0
2024-11-07,08:00,REST,-393.25,-52.25,0.0,0,0,0
2024-11-07,09:00,REST,-445.5,-52.25,0.0,0,0,0
2024-11-07,10:00,REST,-497.75,-52.25,0.0,0,0,0
2024-11-07,10:05,WALK,-893.75,-396.0,0.0,"7,22",0,19
2024-11-07,11:00,REST,-946.0,-52.25,0.0,0,0,0
2024-11-07,12:00,REST,-998.25,-52.25,0.0,0,0,0
2024-11-07,12:30,FOOD,-848.25,150.0,2.0,0,0,"Sandwish, butter, peanut butter"
2024-11-07,13:00,REST,-900.5,-52.25,0.0,0,0,0
2024-11-07,13:30,FOOD,-785.5,115.0,0.0,0,0,Carbs
2024-11-07,14:00,REST,-837.75,-52.25,0.0,0,0,0
2024-11-07,15:00,FOOD,-337.75,500.0,20.0,0,0,"Broccoli, veg. burger, halloumi, egg, watermelon, grapes, coleslaw, bea"
2024-11-07,15:00,REST,-390.0,-52.25,0.0,0,0,0
2024-11-07,15:30,FOOD,-90.0,300.0,20.0,0,0,Proteinbars
2024-11-07,16:00,REST,-142.25,-52.25,0.0,0,0,0
2024-11-07,17:00,REST,-194.5,-52.25,0.0,0,0,0
2024-11-07,18:00,REST,-246.75,-52.25,0.0,0,0,0
2024-11-07,19:00,REST,-299.0,-52.25,0.0,0,0,0
2024-11-07,20:00,REST,-351.25,-52.25,0.0,0,0,0
2024-11-07,21:00,REST,-403.5,-52.25,0.0,0,0,0
2024-11-07,22:00,REST,-455.75,-52.25,0.0,0,0,0
2024-11-07,23:00,REST,-508.0,-52.25,0.0,0,0,0
2024-11-08,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-08,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-08,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-08,03:00,REST,-209.0,-52.25,0.0,0,0,0
2024-11-08,03:13,WALK,-652.0,-443.0,0.0,"8,41",0,14
2024-11-08,04:00,REST,-704.25,-52.25,0.0,0,0,0
2024-11-08,05:00,REST,-756.5,-52.25,0.0,0,0,0
2024-11-08,05:20,FOOD,-256.5,500.0,20.0,0,0,Porridge
2024-11-08,06:00,REST,-308.75,-52.25,0.0,0,0,0
2024-11-08,07:00,REST,-361.0,-52.25,0.0,0,0,0
2024-11-08,08:00,REST,-413.25,-52.25,0.0,0,0,0
2024-11-08,08:30,FOOD,86.75,500.0,20.0,0,0,Porridge
2024-11-08,09:00,REST,34.5,-52.25,0.0,0,0,0
2024-11-08,09:12,WALK,-423.5,-458.0,0.0,"7,91",0,17
2024-11-08,10:00,REST,-475.75,-52.25,0.0,0,0,0
2024-11-08,11:00,REST,-528.0,-52.25,0.0,0,0,0
2024-11-08,12:00,REST,-580.25,-52.25,0.0,0,0,0
2024-11-08,13:00,REST,-632.5,-52.25,0.0,0,0,0
2024-11-08,13:55,FOOD,-132.5,500.0,20.0,0,0,"Watermelon, grapes, coleslaw, veg sausage, broccoli, bea, halloumi, egg"
2024-11-08,14:00,REST,-184.75,-52.25,0.0,0,0,0
